ISO	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	Estimates Start After
HTI	Haiti	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	11.459	16.492	9.345	26.734	28.316	16.758	14.227	8.95	14.376	3.43	4.136	7.385	6.78	6.776	3.944	7.524	13.378	14.738	12.885	17.308	22.945	16.166	15.542	2020
HTI	Haiti	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force																										
HND	Honduras	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"16,222.38"	"17,538.10"	"18,640.74"	"20,097.30"	"22,176.10"	"24,634.37"	"27,021.21"	"29,911.85"	"32,880.39"	"33,816.69"	"35,982.82"	"39,504.87"	"41,819.40"	"42,795.76"	"46,298.85"	"50,522.27"	"53,480.16"	"57,588.83"	"59,915.06"	"62,937.11"	"58,915.11"	"63,508.88"	"67,520.31"	2019
HND	Honduras	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,093.11"	"1,133.19"	"1,134.07"	"1,158.18"	"1,217.82"	"1,308.09"	"1,430.06"	"1,583.05"	"1,739.36"	"1,789.71"	"1,904.35"	"2,088.31"	"2,144.34"	"2,102.60"	"2,206.06"	"2,302.20"	"2,342.02"	"2,451.94"	"2,506.62"	"2,567.97"	"2,396.69"	"2,602.17"	"2,712.44"	2019
HND	Honduras	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		Source: Central Bank Latest actual data: 2019 Harmonized prices: No Frequency of source data: Monthly Base year: 1999. December 1999 = 100 Primary domestic currency: Honduran lempira Data last updated: 09/2021	105.958	116.209	125.146	134.75	145.683	158.517	167.358	178.967	199.375	210.333	220.217	235.108	247.377	260.206	276.033	284.75	292.508	304.017	317.236	331.083	342.567	358.212	371.374	2019
HND	Honduras	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	11.047	9.675	7.691	7.674	8.114	8.809	5.578	6.936	11.403	5.496	4.699	6.762	5.218	5.186	6.082	3.158	2.725	3.934	4.348	4.365	3.468	4.567	3.674	2019
HND	Honduras	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force		Source: National Institute of Statistics of Honduras Latest actual data: 2019. Last population census Employment type: National definition Primary domestic currency: Honduran lempira Data last updated: 09/2021	3.918	4	4.02	5.3	5.99	4.909	3.575	3.211	3.156	3.292	4.119	4.474	3.754	4.096	5.488	6.147	6.727	5.528	5.648	5.386	6.789	5.881	5.212	2019
HKG	Hong Kong SAR	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"199,284.96"	"196,297.64"	"192,890.07"	"185,782.35"	"193,734.50"	"206,517.45"	"217,741.41"	"237,915.95"	"245,191.34"	"237,156.97"	"251,886.96"	"272,090.86"	"284,069.03"	"296,537.88"	"311,600.19"	"328,095.54"	"337,590.38"	"358,741.15"	"378,702.58"	"378,225.72"	"361,931.53"	"383,657.86"	"402,586.06"	2020
HKG	Hong Kong SAR	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"25,574.49"	"25,166.90"	"24,731.08"	"23,856.48"	"24,873.90"	"26,551.77"	"28,028.16"	"30,494.55"	"31,487.94"	"30,593.99"	"32,421.36"	"34,955.15"	"36,623.75"	"38,233.35"	"40,185.30"	"42,325.35"	"43,491.31"	"46,032.29"	"48,313.14"	"48,268.22"	"46,657.20"	"49,485.08"	"51,895.03"	2020
HKG	Hong Kong SAR	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		"Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2020 Notes: Hong Kong Authorities change the weights for Composite CPI every 5 years. From Oct 2009, the series with 2010 weights are used; between Oct 2004 and Sep 2009, the series with 2005 weights are used; between Oct 1999 and Sep 2004, the series with 2000 weights are used to splice; prior to Sep 1999, the series with 1995 weight. Harmonized prices: No Frequency of source data: Monthly Base year: 2019. HK: Price Index (Oct.19-Sep.20=100) Primary domestic currency: Hong Kong dollar Data last updated: 09/2021"	70.9	69.758	67.633	65.883	65.642	66.242	67.567	68.942	71.908	72.325	73.983	77.908	81.067	84.583	88.325	90.967	93.158	94.55	96.825	99.617	99.867	101.764	103.901	2020
HKG	Hong Kong SAR	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	-3.723	-1.61	-3.046	-2.587	-0.367	0.914	2	2.035	4.303	0.579	2.293	5.305	4.054	4.338	4.424	2.991	2.409	1.494	2.406	2.883	0.251	1.9	2.1	2020
HKG	Hong Kong SAR	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force		Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2020 Employment type: National definition Primary domestic currency: Hong Kong dollar Data last updated: 09/2021	4.946	5.086	7.32	7.94	6.809	5.591	4.79	4.011	3.519	5.262	4.329	3.421	3.286	3.401	3.296	3.315	3.393	3.127	2.815	2.932	5.828	5.637	4.612	2020
HUN	Hungary	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,303,468.21"	"1,509,676.47"	"1,713,401.38"	"1,886,591.50"	"2,083,370.27"	"2,233,018.42"	"2,413,049.42"	"2,553,285.22"	"2,709,543.55"	"2,637,649.69"	"2,739,291.99"	"2,854,145.90"	"2,911,837.50"	"3,056,909.88"	"3,314,992.20"	"3,544,776.08"	"3,679,293.29"	"4,004,228.41"	"4,433,458.07"	"4,862,782.26"	"4,886,741.56"	"5,475,398.18"	"5,986,666.94"	2020
HUN	Hungary	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"4,619.29"	"5,269.61"	"6,644.61"	"8,410.77"	"10,275.77"	"11,188.45"	"11,469.41"	"13,904.83"	"15,742.79"	"13,035.62"	"13,173.21"	"14,195.85"	"12,935.51"	"13,665.53"	"14,251.80"	"12,690.17"	"13,069.23"	"14,590.90"	"16,407.35"	"16,729.13"	"15,866.22"	"18,527.59"	"20,380.16"	2020
HUN	Hungary	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		Source: International Financial Institution Latest actual data: 2020 Harmonized prices: No Frequency of source data: Monthly Base year: 2010 Primary domestic currency: Hungarian forint Data last updated: 09/2021	57.855	63.153	66.478	69.578	74.275	76.916	79.928	86.295	91.517	95.361	100.003	103.923	109.813	111.703	111.455	111.377	111.843	114.536	117.799	121.771	125.812	131.523	136.233	2020
HUN	Hungary	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	9.784	9.157	5.265	4.663	6.751	3.556	3.916	7.967	6.051	4.201	4.867	3.921	5.668	1.721	-0.222	-0.07	0.419	2.408	2.849	3.371	3.319	4.539	3.582	2020
HUN	Hungary	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force		Source: National Statistics Office Latest actual data: 2020. Economically active population aged 15-64. Employment type: Harmonized ILO definition Primary domestic currency: Hungarian forint Data last updated: 09/2021	6.433	5.74	5.843	5.901	6.122	6.8	7.075	7	7.468	9.681	10.801	10.655	10.668	9.849	7.511	6.626	4.971	4.041	3.596	3.309	4.115	4.1	3.801	2020
ISL	Iceland	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"2,542,782.81"	"2,831,289.42"	"2,980,511.21"	"3,039,241.38"	"3,339,715.04"	"3,615,497.81"	"4,087,205.02"	"4,507,891.52"	"5,039,085.90"	"5,092,529.62"	"5,292,217.36"	"5,542,464.80"	"5,773,796.45"	"6,121,184.25"	"6,406,342.60"	"7,021,719.84"	"7,554,396.76"	"7,808,384.24"	"8,163,948.92"	"8,537,265.65"	"8,076,968.92"	"8,654,240.12"	"9,149,351.83"	2018
ISL	Iceland	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"32,344.36"	"29,061.34"	"32,516.44"	"39,620.41"	"47,579.94"	"57,405.56"	"58,238.89"	"70,375.33"	"57,296.25"	"41,188.91"	"43,293.02"	"47,798.81"	"46,159.80"	"50,100.08"	"54,864.16"	"53,227.63"	"62,530.42"	"73,085.13"	"75,382.60"	"69,631.27"	"59,643.09"	"68,843.65"	"72,317.58"	2018
ISL	Iceland	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Frequency of source data: Monthly Base year: 2008. Base period is 2008M1. Primary domestic currency: Icelandic króna Data last updated: 09/2021	70.427	74.931	78.81	80.435	82.97	86.289	92.048	96.712	108.968	122.048	128.639	133.781	140.72	146.169	149.161	151.598	154.169	156.88	161.094	165.94	170.672	177.938	183.409	2020
ISL	Iceland	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	5.12	6.396	5.177	2.062	3.152	4	6.674	5.066	12.673	12.003	5.4	3.997	5.187	3.872	2.047	1.634	1.696	1.758	2.686	3.008	2.851	4.258	3.074	2020
ISL	Iceland	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force		"Source: Labor Directorate Latest actual data: 2020 Notes: LHEM series is from the OECD, hourly earnings in the manufacturing sector Employment type: Other Primary domestic currency: Icelandic króna Data last updated: 09/2021"	2.178	2.335	3.076	3.525	3.417	2.883	3.2	2.492	3.325	8.008	8.317	7.7	6.617	5.833	5.417	4.5	3.342	3.283	3.1	3.925	6.433	7	5	2020
IND	India	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"20,608.21"	"21,914.84"	"23,198.45"	"25,564.04"	"28,701.69"	"32,183.14"	"36,849.05"	"42,148.83"	"46,891.00"	"53,196.11"	"63,066.02"	"69,874.50"	"78,560.16"	"87,703.90"	"96,232.79"	"105,116.55"	"116,206.56"	"127,665.39"	"139,632.69"	"148,807.99"	"143,230.37"	"161,359.54"	"182,503.06"	2013
IND	India	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	451.114	459.473	479.063	556.326	638.787	726.918	814.353	"1,046.90"	"1,019.51"	"1,121.25"	"1,384.17"	"1,458.11"	"1,443.88"	"1,449.61"	"1,573.88"	"1,605.61"	"1,732.05"	"1,980.69"	"1,996.95"	"2,098.93"	"1,929.68"	"2,116.44"	"2,312.90"	2013
IND	India	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		Source: National Statistics Office. The original data are in monthly. IMF staff collapsed it to fiscal year data. Latest actual data: FY2019/20 Harmonized prices: No. CPI-National (CY2006M1 forward) is used spliced with CPI-Industrial Workers (CY2005M12 backward) [20011=100]. Frequency of source data: Monthly Base year: FY2011/12 Primary domestic currency: Indian rupee Data last updated: 09/2021	48.284	50.365	52.371	54.394	56.475	58.962	62.91	66.813	72.886	81.861	90.48	99.075	108.983	119.227	126.142	132.323	138.278	143.259	148.171	155.227	164.812	173.971	182.453	2020
IND	India	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	3.831	4.311	3.981	3.864	3.824	4.404	6.697	6.204	9.089	12.314	10.528	9.5	10	9.4	5.8	4.9	4.5	3.602	3.428	4.762	6.175	5.557	4.876	2020
IND	India	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force																										
IDN	Indonesia	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"7,328,240.70"	"8,558,977.96"	"9,338,261.50"	"10,176,465.26"	"11,439,233.97"	"13,628,832.87"	"16,173,465.63"	"18,867,051.35"	"23,440,305.61"	"25,656,746.41"	"28,884,425.18"	"32,363,747.86"	"35,105,215.36"	"38,365,914.70"	"41,915,863.36"	"45,097,333.64"	"47,976,388.46"	"51,997,473.56"	"56,173,024.39"	"59,317,457.93"	"57,120,385.12"	"60,443,649.48"	"65,337,960.91"	2020
IDN	Indonesia	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	870.154	834.139	"1,002.91"	"1,186.85"	"1,280.70"	"1,403.88"	"1,764.79"	"2,064.23"	"2,418.04"	"2,464.96"	"3,178.13"	"3,688.53"	"3,744.53"	"3,684.00"	"3,533.61"	"3,367.69"	"3,605.72"	"3,885.47"	"3,947.25"	"4,196.30"	"3,921.62"	"4,224.98"	"4,538.15"	2020
IDN	Indonesia	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		Source: National Statistics Office. Accessed via Haver Data. Latest actual data: 2020 Harmonized prices: No Frequency of source data: Monthly Base year: 2018. The authorities issue 2018=100 data from Jan. 2018 onward. Data prior 2018 were ratio spliced from Haver. Primary domestic currency: Indonesian rupiah Data last updated: 09/2021	30.059	33.506	37.494	40.041	42.468	46.912	53.058	56.411	61.978	64.954	68.293	71.943	74.807	79.603	84.695	90.083	93.26	96.813	99.999	102.819	104.909	106.536	109.564	2020
IDN	Indonesia	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	3.688	11.466	11.903	6.792	6.06	10.465	13.101	6.32	9.868	4.803	5.141	5.343	3.981	6.411	6.397	6.361	3.527	3.809	3.292	2.82	2.033	1.551	2.842	2020
IDN	Indonesia	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force		Source: National Statistics Office. CEIC and EMED Emerging Asia Latest actual data: 2020 Employment type: National definition Primary domestic currency: Indonesian rupiah Data last updated: 09/2021	6.08	8.1	9.06	9.67	9.86	11.24	10.28	9.11	8.39	7.87	7.14	6.56	6.14	6.25	5.94	6.18	5.61	5.5	5.24	5.18	7.07	6.6	6	2020
IRN	Islamic Republic of Iran	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"9,912,457.67"	"10,987,497.11"	"15,513,914.89"	"18,709,148.60"	"23,952,473.29"	"29,253,601.42"	"34,643,272.82"	"45,501,988.29"	"53,797,256.56"	"56,115,685.63"	"67,907,077.51"	"85,114,523.67"	"96,556,231.09"	"129,109,821.09"	"146,775,264.94"	"143,617,226.82"	"163,450,543.89"	"188,111,304.99"	"232,261,534.99"	"293,191,245.49"	"416,983,853.01"	"600,706,025.13"	"767,953,272.70"	2019
IRN	Islamic Republic of Iran	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"5,648.12"	"4,842.26"	"1,947.97"	"2,256.51"	"2,744.11"	"3,239.14"	"3,765.88"	"4,905.24"	"5,612.15"	"5,656.19"	"6,564.06"	"7,719.43"	"5,159.20"	"5,199.85"	"5,519.14"	"4,844.50"	"5,195.91"	"5,471.79"	"5,543.90"	"6,980.74"	"9,928.19"	"12,725.04"	"13,243.34"	2019
IRN	Islamic Republic of Iran	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		"Source: Central Bank. CBI stopped publishing price statistics since FY 2018/19, thus, desk uses Statistical Office data since then. Latest actual data: FY2020/21. the fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t) Notes: Data prior to 1990 cannot be confirmed by national sources at this time. Harmonized prices: No Frequency of source data: Monthly Base year: FY2016/17. 2016/17=100 Primary domestic currency: Iranian rial Data last updated: 08/2021"	8.45	9.425	10.917	12.617	14.55	16.042	17.967	21.275	26.658	29.542	33.175	40.317	52.642	70.908	81.942	91.708	100.008	109.65	142.79	192.229	262.281	365.46	465.962	2021
IRN	Islamic Republic of Iran	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	12.292	11.538	15.827	15.573	15.324	10.252	12	18.414	25.304	10.816	12.299	21.527	30.57	34.7	15.56	11.919	9.05	9.641	30.223	34.623	36.442	39.339	27.5	2021
IRN	Islamic Republic of Iran	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force		Source: National Statistics Office Latest actual data: FY2020/21. the fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t) Employment type: National definition Primary domestic currency: Iranian rial Data last updated: 08/2021	16.046	16.626	12.2	11.3	10.3	11.5	11.3	10.5	10.4	11.9	13.5	12.3	12.1	10.4	10.6	11	12.425	12.075	12.025	10.625	9.6	10.037	10.549	2021
IRQ	Iraq	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	"1,155,226.29"	"1,995,811.83"	"2,685,958.20"	"3,406,058.70"	"3,877,987.83"	"5,335,609.04"	"4,331,178.10"	"5,234,241.22"	"6,842,788.75"	"7,803,544.10"	"8,186,959.70"	"7,817,229.15"	"5,882,031.64"	"5,472,437.29"	"6,121,484.05"	"7,033,875.55"	"7,069,662.38"	"5,029,053.91"	"7,094,797.30"	"7,778,159.73"	2013
IRQ	Iraq	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	608.655	"1,373.74"	"1,828.74"	"2,321.26"	"3,090.85"	"4,472.12"	"3,701.86"	"4,473.71"	"5,848.54"	"6,692.58"	"7,021.41"	"6,704.31"	"5,044.62"	"4,637.00"	"5,178.92"	"5,950.83"	"5,981.10"	"4,223.22"	"4,892.96"	"5,364.25"	2013
IRQ	Iraq	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Frequency of source data: Monthly Base year: 2007. New base year introduced in Jan 2010 Primary domestic currency: Iraqi dinar Data last updated: 08/2021	n/a	n/a	n/a	n/a	36.42	49.88	76.441	100	102.668	100.415	102.87	108.634	115.249	117.415	120.041	121.713	122.353	122.578	123.028	122.784	123.489	131.441	137.397	2020
